LEAGUE,YEAR,TID,TEAM NAME,PARK,HOME GAMES,ATTENDANCE,ATT/G,LAA
AL,1941,PHA,Philadelphia Athletics,Shibe Park,77,528894,6869,613995
AL,1942,PHA,Philadelphia Athletics,Shibe Park,76,423487,5500,525027
AL,1943,PHA,Philadelphia Athletics,Shibe Park,79,376735,4861,462071
AL,1944,PHA,Philadelphia Athletics,Shibe Park,76,505322,6520,599770
AL,1945,PHA,Philadelphia Athletics,Shibe Park,77,462631,6047,697553
AL,1946,PHA,Philadelphia Athletics,Shibe Park,78,621793,8023,1202648
AL,1947,PHA,Philadelphia Athletics,Shibe Park,78,911566,11687,1185759
AL,1948,PHA,Philadelphia Athletics,Shibe Park,77,945076,12274,1393762
AL,1949,PHA,Philadelphia Athletics,Shibe Park,77,816514,10604,1341331
AL,1950,PHA,Philadelphia Athletics,Shibe Park,77,309805,4023,1142795
AL,1951,PHA,Philadelphia Athletics,Shibe Park,79,465469,6045,1110334
AL,1952,PHA,Philadelphia Athletics,Shibe Park,78,627100,8092,1036737
AL,1953,PHA,Philadelphia Athletics,Shibe Park,78,362113,4613,870510
AL,1954,PHA,Philadelphia Athletics,Shibe Park,77,304666,3906,990296
AL,1955,KC1,Kansas City Athletics,Municipal Stadium,76,1393054,17975,1117871
AL,1956,KC1,Kansas City Athletics,Municipal Stadium,77,1015154,13184,986710
AL,1957,KC1,Kansas City Athletics,Municipal Stadium,77,901067,11702,1024527
AL,1958,KC1,Kansas City Athletics,Municipal Stadium,78,925090,11860,912004
AL,1959,KC1,Kansas City Athletics,Municipal Stadium,77,963683,12515,1143682
AL,1960,KC1,Kansas City Athletics,Municipal Stadium,78,774944,9999,1153316
AL,1961,KC1,Kansas City Athletics,Municipal Stadium,80,683817,8442,1016302
AL,1962,KC1,Kansas City Athletics,Municipal Stadium,81,635675,7848,1001506
AL,1963,KC1,Kansas City Athletics,Municipal Stadium,81,762364,9412,909485
AL,1964,KC1,Kansas City Athletics,Municipal Stadium,81,642478,7883,923515
AL,1965,KC1,Kansas City Athletics,Municipal Stadium,81,528344,6523,886076
AL,1966,KC1,Kansas City Athletics,Municipal Stadium,81,773929,9674,1016674
AL,1967,KC1,Kansas City Athletics,Municipal Stadium,81,726639,9027,1133692
AL,1968,OAK,Oakland Athletics,Oakland-Alameda Coliseum,83,837466,10276,1131739
AL,1969,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,778232,9608,1011227
AL,1970,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,778355,9609,1007095
AL,1971,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,914993,11366,989047
AL,1972,OAK,Oakland Athletics,Oakland-Alameda Coliseum,77,921323,11888,953211
AL,1973,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1000763,12355,1119467
AL,1974,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,845693,10441,1087275
AL,1975,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1075518,13278,1099119
AL,1976,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,780593,9697,1221484
AL,1977,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,495599,6157,1402825
AL,1978,OAK,Oakland Athletics,Oakland-Alameda Coliseum,80,526999,6506,1466426
AL,1979,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,306763,3787,1597999
AL,1980,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,842259,10398,1563575
AL,1981,OAK,Oakland Athletics,Oakland-Alameda Coliseum,56,1304052,23928,1004713
AL,1982,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1735489,21426,1648604
AL,1983,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1294941,15987,1713647
AL,1984,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1353281,16707,1711531
AL,1985,OAK,Oakland Athletics,Oakland-Alameda Coliseum,79,1334599,16477,1752302
AL,1986,OAK,Oakland Athletics,Oakland-Alameda Coliseum,83,1314646,16230,1798052
AL,1987,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1678921,20727,1948382
AL,1988,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,2287335,28239,2035688
AL,1989,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,2667225,32929,2132090
AL,1990,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,2900217,35805,2166590
AL,1991,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,2713493,33500,2294113
AL,1992,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,2494160,30792,2268524
AL,1993,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,2035025,25124,2380955
AL,1994,OAK,Oakland Athletics,Oakland-Alameda Coliseum,56,1242692,21802,1728728
AL,1995,OAK,Oakland Athletics,Oakland-Alameda Coliseum,72,1174310,16310,1811356
AL,1996,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1148380,14178,2122721
AL,1997,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1264218,15608,2234523
AL,1998,OAK,Oakland Athletics,Oakland-Alameda Coliseum,81,1232343,15214,2298169
AL,1999,OAK,Oakland Athletics,Networks Associates Coliseum,81,1434632,17712,2286874
AL,2000,OAK,Oakland Athletics,Networks Associates Coliseum,81,1728885,19922,2262557
AL,2001,OAK,Oakland Athletics,Networks Associates Coliseum,81,2133477,26339,2346071
AL,2002,OAK,Oakland Athletics,Networks Associates Coliseum,81,2169811,26788,2207891
AL,2003,OAK,Oakland Athletics,Networks Associates Coliseum,81,2216596,27365,2191745
AL,2004,OAK,Oakland Athletics,McAfee Coliseum,81,2201516,27179,2340422
AL,2005,OAK,Oakland Athletics,McAfee Coliseum,81,2109298,26040,2360452
AL,2006,OAK,Oakland Athletics,McAfee Coliseum,81,1976625,24402,2458741
AL,2007,OAK,Oakland Athletics,McAfee Coliseum,81,1921844,23726,2527968
AL,2008,OAK,Oakland Athletics,McAfee Coliseum,81,1578922,19986,2464986
AL,2009,OAK,Oakland Athletics,McAfee Coliseum,81,1408783,17392,2305178
AL,2010,OAK,Oakland Athletics,McAfee Coliseum,81,1418391,17511,2289427
AL,2011,OAK,Oakland Athletics,McAfee Coliseum,81,1476791,18232,2333812
AL,2012,OAK,Oakland Athletics,McAfee Coliseum,81,1679013,20728,2384555
AL,2013,OAK,Oakland Athletics,McAfee Coliseum,81,1809302,22337,2306065
AL,2014,OAK,Oakland Athletics,McAfee Coliseum,81,2003628,24736,2299409
AL,1977,SEA,Seattle Mariners,Kingdome,81,1338511,16525,1402825
AL,1978,SEA,Seattle Mariners,Kingdome,81,877440,10968,1466426
AL,1979,SEA,Seattle Mariners,Kingdome,81,844447,10425,1597999
AL,1980,SEA,Seattle Mariners,Kingdome,81,836204,10260,1563575
AL,1981,SEA,Seattle Mariners,Kingdome,57,636276,11569,1004713
AL,1982,SEA,Seattle Mariners,Kingdome,81,1070404,13215,1648604
AL,1983,SEA,Seattle Mariners,Kingdome,81,813537,10044,1713647
AL,1984,SEA,Seattle Mariners,Kingdome,81,870372,10745,1711531
AL,1985,SEA,Seattle Mariners,Kingdome,83,1128696,13935,1752302
AL,1986,SEA,Seattle Mariners,Kingdome,82,1029045,12704,1798052
AL,1987,SEA,Seattle Mariners,Kingdome,81,1134255,14003,1948382
AL,1988,SEA,Seattle Mariners,Kingdome,81,1022398,12701,2035688
AL,1989,SEA,Seattle Mariners,Kingdome,81,1298443,16030,2132090
AL,1990,SEA,Seattle Mariners,Kingdome,81,1509727,18639,2166590
AL,1991,SEA,Seattle Mariners,Kingdome,81,2147905,26517,2294113
AL,1992,SEA,Seattle Mariners,Kingdome,81,1651367,20387,2268524
AL,1993,SEA,Seattle Mariners,Kingdome,81,2052638,25341,2380955
AL,1994,SEA,Seattle Mariners,Kingdome,44,1104206,19718,1728728
AL,1995,SEA,Seattle Mariners,Kingdome,73,1643203,22665,1811356
AL,1996,SEA,Seattle Mariners,Kingdome,81,2723850,33837,2122721
AL,1997,SEA,Seattle Mariners,Kingdome,81,3192237,39410,2234523
AL,1998,SEA,Seattle Mariners,Kingdome,81,2651511,32938,2298169
AL,1999,SEA,Seattle Mariners,Kingdome,81,2915908,35999,2286874
AL,2000,SEA,Seattle Mariners,Kingdome / SAFECO Field,81,3148317,35983,2262557
AL,2001,SEA,Seattle Mariners,SAFECO Field,81,3512326,43362,2346071
AL,2002,SEA,Seattle Mariners,SAFECO Field,81,3540482,43710,2207891
AL,2003,SEA,Seattle Mariners,SAFECO Field,81,3268509,40351,2191745
AL,2004,SEA,Seattle Mariners,SAFECO Field,82,2940731,36305,2340422
AL,2005,SEA,Seattle Mariners,SAFECO Field,81,2689529,33619,2360452
AL,2006,SEA,Seattle Mariners,SAFECO Field,81,2480717,30626,2458741
AL,2007,SEA,Seattle Mariners,SAFECO Field,82,2672409,32992,2527968
AL,2008,SEA,Seattle Mariners,SAFECO Field,81,2329702,28761,2464986
AL,2009,SEA,Seattle Mariners,SAFECO Field,81,2195284,27102,2305178
AL,2010,SEA,Seattle Mariners,SAFECO Field,81,2085630,25749,2289427
AL,2011,SEA,Seattle Mariners,SAFECO Field,84,1896321,23411,2333812
AL,2012,SEA,Seattle Mariners,SAFECO Field,81,1721920,21258,2384555
AL,2013,SEA,Seattle Mariners,SAFECO Field,81,1761546,21747,2306065
AL,2014,SEA,Seattle Mariners,SAFECO Field,81,2064334,25486,2299409
AL,1998,TBA,Tampa Bay Devil Rays,Tropicana Field,81,2506023,30942,2298169
AL,1999,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1562827,21601,2286874
AL,2000,TBA,Tampa Bay Devil Rays,Tropicana Field,80,1479782,18008,2262557
AL,2001,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1298075,16026,2346071
AL,2002,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1065762,13158,2207891
AL,2003,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1058695,13070,2191745
AL,2004,TBA,Tampa Bay Devil Rays,Tropicana Field,80,1275011,16139,2340422
AL,2005,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1124189,14052,2360452
AL,2006,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1369031,16901,2458741
AL,2007,TBA,Tampa Bay Devil Rays,Tropicana Field,81,1389031,17148,2527968
AL,2008,TBA,Tampa Bay Rays,Tropicana Field,81,1780791,22259,2464986
AL,2009,TBA,Tampa Bay Rays,Tropicana Field,81,1874962,23147,2305178
AL,2010,TBA,Tampa Bay Rays,Tropicana Field,81,1864999,23025,2289427
AL,2011,TBA,Tampa Bay Rays,Tropicana Field,81,1529188,18879,2333812
AL,2012,TBA,Tampa Bay Rays,Tropicana Field,81,1559681,19255,2384555
AL,2013,TBA,Tampa Bay Rays,Tropicana Field,81,1510300,18646,2306065
AL,2014,TBA,Tampa Bay Rays,Tropicana Field,81,1446464,17858,2299409
AL,1961,WS2,Washington Senators,Griffith Stadium,79,597287,7420,1016302
AL,1962,WS2,Washington Senators,R.F.K. Stadium,80,729775,9010,1001506
AL,1963,WS2,Washington Senators,R.F.K. Stadium,80,535604,6612,909485
AL,1964,WS2,Washington Senators,R.F.K. Stadium,81,600106,7409,923515
AL,1965,WS2,Washington Senators,R.F.K. Stadium,81,560083,6915,886076
AL,1966,WS2,Washington Senators,R.F.K. Stadium,78,576260,7249,1016674
AL,1967,WS2,Washington Senators,R.F.K. Stadium,80,770868,9576,1133692
AL,1968,WS2,Washington Senators,R.F.K. Stadium,81,546661,6791,1131739
AL,1969,WS2,Washington Senators,R.F.K. Stadium,81,918106,11335,1011227
AL,1970,WS2,Washington Senators,R.F.K. Stadium,81,824789,10183,1007095
AL,1971,WS2,Washington Senators,R.F.K. Stadium,81,655156,8241,989047
AL,1972,TEX,Texas Rangers,Arlington Stadium,77,662974,8610,953211
AL,1973,TEX,Texas Rangers,Arlington Stadium,81,686085,8470,1119467
AL,1974,TEX,Texas Rangers,Arlington Stadium,80,1193902,14831,1087275
AL,1975,TEX,Texas Rangers,Arlington Stadium,80,1127924,13925,1099119
AL,1976,TEX,Texas Rangers,Arlington Stadium,81,1164982,14382,1221484
AL,1977,TEX,Texas Rangers,Arlington Stadium,81,1250722,15441,1402825
AL,1978,TEX,Texas Rangers,Arlington Stadium,82,1447963,17876,1466426
AL,1979,TEX,Texas Rangers,Arlington Stadium,81,1519671,18761,1597999
AL,1980,TEX,Texas Rangers,Arlington Stadium,80,1198175,14702,1563575
AL,1981,TEX,Texas Rangers,Arlington Stadium,56,850076,16192,1004713
AL,1982,TEX,Texas Rangers,Arlington Stadium,81,1154432,14252,1648604
AL,1983,TEX,Texas Rangers,Arlington Stadium,81,1363469,16730,1713647
AL,1984,TEX,Texas Rangers,Arlington Stadium,80,1102471,13695,1711531
AL,1985,TEX,Texas Rangers,Arlington Stadium,80,1112497,13820,1752302
AL,1986,TEX,Texas Rangers,Arlington Stadium,81,1692002,20889,1798052
AL,1987,TEX,Texas Rangers,Arlington Stadium,81,1763053,21766,1948382
AL,1988,TEX,Texas Rangers,Arlington Stadium,81,1581901,19651,2035688
AL,1989,TEX,Texas Rangers,Arlington Stadium,81,2043993,25234,2132090
AL,1990,TEX,Texas Rangers,Arlington Stadium,82,2057911,25406,2166590
AL,1991,TEX,Texas Rangers,Arlington Stadium,81,2297720,28367,2294113
AL,1992,TEX,Texas Rangers,Arlington Stadium,81,2198231,27139,2268524
AL,1993,TEX,Texas Rangers,Arlington Stadium,81,2244616,27711,2380955
AL,1994,TEX,Texas Rangers,The Ballpark at Arlington,63,2503198,43916,1728728
AL,1995,TEX,Texas Rangers,The Ballpark at Arlington,72,1985910,27582,1811356
AL,1996,TEX,Texas Rangers,The Ballpark at Arlington,81,2889020,35448,2122721
AL,1997,TEX,Texas Rangers,The Ballpark at Arlington,81,2945228,36361,2234523
AL,1998,TEX,Texas Rangers,The Ballpark at Arlington,81,2927399,36142,2298169
AL,1999,TEX,Texas Rangers,The Ballpark at Arlington,81,2774501,34253,2286874
AL,2000,TEX,Texas Rangers,The Ballpark at Arlington,81,2800075,31956,2262557
AL,2001,TEX,Texas Rangers,The Ballpark at Arlington,82,2831111,34952,2346071
AL,2002,TEX,Texas Rangers,The Ballpark at Arlington,80,2352447,29043,2207891
AL,2003,TEX,Texas Rangers,The Ballpark at Arlington,81,2094394,25856,2191745
AL,2004,TEX,Texas Rangers,Ameriquest Field at Arlington,81,2513685,31818,2340422
AL,2005,TEX,Texas Rangers,Ameriquest Field at Arlington,81,2486925,31480,2360452
AL,2006,TEX,Texas Rangers,Ameriquest Field at Arlington,81,2388757,29490,2458741
AL,2007,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,2353862,29795,2527968
AL,2008,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,1945677,24320,2464986
AL,2009,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,2156016,27641,2305178
AL,2010,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,2505171,30928,2289427
AL,2011,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,2946949,36382,2333812
AL,2012,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,3462780,42719,2384555
AL,2013,TEX,Texas Rangers,Rangers Ballpark in Arlington,82,3178273,38759,2306065
AL,2014,TEX,Texas Rangers,Rangers Ballpark in Arlington,81,2718733,33565,2299409
AL,1977,TOR,Toronto Blue Jays,Exhibition Stadium,80,1701052,21131,1402825
AL,1978,TOR,Toronto Blue Jays,Exhibition Stadium,81,1562585,19411,1466426
AL,1979,TOR,Toronto Blue Jays,Exhibition Stadium,81,1431651,17675,1597999
AL,1980,TOR,Toronto Blue Jays,Exhibition Stadium,81,1400327,17288,1563575
AL,1981,TOR,Toronto Blue Jays,Exhibition Stadium,53,755083,14247,1004713
AL,1982,TOR,Toronto Blue Jays,Exhibition Stadium,81,1275978,15753,1648604
AL,1983,TOR,Toronto Blue Jays,Exhibition Stadium,81,1930415,23832,1713647
AL,1984,TOR,Toronto Blue Jays,Exhibition Stadium,81,2110009,25890,1711531
AL,1985,TOR,Toronto Blue Jays,Exhibition Stadium,80,2468925,30670,1752302
AL,1986,TOR,Toronto Blue Jays,Exhibition Stadium,81,2455477,30129,1798052
AL,1987,TOR,Toronto Blue Jays,Exhibition Stadium,81,2778429,34302,1948382
AL,1988,TOR,Toronto Blue Jays,Exhibition Stadium,81,2595175,32039,2035688
AL,1989,TOR,Toronto Blue Jays,Exhibition Stadium / SkyDome,81,3375883,41678,2132090
AL,1990,TOR,Toronto Blue Jays,Skydome,81,3885284,47966,2166590
AL,1991,TOR,Toronto Blue Jays,Skydome,81,4001527,49402,2294113
AL,1992,TOR,Toronto Blue Jays,Skydome,81,4028318,49732,2268524
AL,1993,TOR,Toronto Blue Jays,Skydome,81,4057947,50098,2380955
AL,1994,TOR,Toronto Blue Jays,Skydome,59,2907933,49287,1728728
AL,1995,TOR,Toronto Blue Jays,Skydome,72,2826483,39257,1811356
AL,1996,TOR,Toronto Blue Jays,Skydome,81,2559573,31600,2122721
AL,1997,TOR,Toronto Blue Jays,Skydome,81,2589297,31967,2234523
AL,1998,TOR,Toronto Blue Jays,Skydome,81,2454303,30300,2298169
AL,1999,TOR,Toronto Blue Jays,Skydome,81,2163486,26710,2286874
AL,2000,TOR,Toronto Blue Jays,Skydome,81,1819919,21058,2262557
AL,2001,TOR,Toronto Blue Jays,Skydome,82,1895236,23690,2346071
AL,2002,TOR,Toronto Blue Jays,Skydome,81,1636904,20209,2207891
AL,2003,TOR,Toronto Blue Jays,Skydome,81,1799458,22215,2191745
AL,2004,TOR,Toronto Blue Jays,Skydome,81,1900041,23457,2340422
AL,2005,TOR,Toronto Blue Jays,Rogers Centre,81,1977949,24724,2360452
AL,2006,TOR,Toronto Blue Jays,Rogers Centre,81,2302182,28422,2458741
AL,2007,TOR,Toronto Blue Jays,Rogers Centre,81,2360648,29143,2527968
AL,2008,TOR,Toronto Blue Jays,Rogers Centre,81,2399786,29626,2464986
AL,2009,TOR,Toronto Blue Jays,Rogers Centre,81,1876129,23162,2305178
AL,2010,TOR,Toronto Blue Jays,Rogers Centre,78,1495482,18463,2289427
AL,2011,TOR,Toronto Blue Jays,Rogers Centre,81,1818103,22446,2333812
AL,2012,TOR,Toronto Blue Jays,Rogers Centre,81,2099663,25921,2384555
AL,2013,TOR,Toronto Blue Jays,Rogers Centre,81,2536562,31316,2306065
AL,2014,TOR,Toronto Blue Jays,Rogers Centre,81,2375525,29327,2299409
NL,1998,ARI,Arizona Diamondbacks,Bank One Ballpark,81,3600412,44571,2401674
NL,1999,ARI,Arizona Diamondbacks,Bank One Ballpark,81,3019654,37234,2380436
NL,2000,ARI,Arizona Diamondbacks,Bank One Ballpark,81,2819539,36324,2480194
NL,2001,ARI,Arizona Diamondbacks,Bank One Ballpark,81,2735821,33766,2481346
NL,2002,ARI,Arizona Diamondbacks,Bank One Ballpark,81,3200725,39515,2309294
NL,2003,ARI,Arizona Diamondbacks,Bank One Ballpark,81,2805542,34636,2273813
NL,2004,ARI,Arizona Diamondbacks,Bank One Ballpark,81,2519560,31105,2512690
NL,2005,ARI,Arizona Diamondbacks,Bank One Ballpark,81,2059331,25423,2583685
NL,2006,ARI,Arizona Diamondbacks,Chase Field,81,2091505,25821,2598741
NL,2007,ARI,Arizona Diamondbacks,Chase Field,81,2316507,28598,2756384
NL,2008,ARI,Arizona Diamondbacks,Chase Field,81,2509924,30986,2755082
NL,2009,ARI,Arizona Diamondbacks,Chase Field,81,2129183,26286,2571627
NL,2010,ARI,Arizona Diamondbacks,Chase Field,81,2056697,25391,2563111
NL,2011,ARI,Arizona Diamondbacks,Chase Field,81,2105432,25993,2547018
NL,2012,ARI,Arizona Diamondbacks,Chase Field,81,2177617,26884,2592218
NL,2013,ARI,Arizona Diamondbacks,Chase Field,81,2134795,26355,2629060
NL,2014,ARI,Arizona Diamondbacks,Chase Field,81,2073730,25602,2615565
NL,1901,BSN,Boston Beaneaters,South End Grounds,70,146502,2123,240004
NL,1902,BSN,Boston Beaneaters,South End Grounds,72,116960,1707,210377
NL,1903,BSN,Boston Beaneaters,South End Grounds,68,143155,2075,298795
NL,1904,BSN,Boston Beaneaters,South End Grounds,79,140694,1839,333034
NL,1905,BSN,Boston Beaneaters,South End Grounds,76,150003,1948,341789
NL,1906,BSN,Boston Beaneaters,South End Grounds,76,143280,1898,347652
NL,1907,BSN,Boston Beaneaters,South End Grounds,74,203221,2746,330028
NL,1908,BSN,Boston Beaneaters,South End Grounds,78,253750,3295,439014
NL,1909,BSN,Boston Beaneaters,South End Grounds,76,195188,2551,437053
NL,1910,BSN,Boston Beaneaters,South End Grounds,78,149027,1948,366970
NL,1911,BSN,Boston Beaneaters,South End Grounds,75,116000,1536,403971
NL,1912,BSN,Boston Beaneaters,South End Grounds,79,121000,1582,341970
NL,1913,BSN,Boston Braves,South End Grounds,77,208000,2755,353941
NL,1914,BSN,Boston Braves,South End Grounds,79,382913,5005,213425
NL,1915,BSN,Boston Braves,Braves Field,78,376283,4951,303768
NL,1916,BSN,Boston Braves,Braves Field,78,313495,4125,381454
NL,1917,BSN,Boston Braves,Braves Field,77,174253,2278,295142
NL,1918,BSN,Boston Braves,Braves Field,52,84938,1370,171516
NL,1919,BSN,Boston Braves,Braves Field,68,167401,2409,359775
NL,1920,BSN,Boston Braves,Braves Field,74,162483,2138,504572
NL,1921,BSN,Boston Braves,Braves Field,74,318627,4165,498373
NL,1922,BSN,Boston Braves,Braves Field,76,167965,2196,492728
NL,1923,BSN,Boston Braves,Braves Field,77,227802,2958,508727
NL,1924,BSN,Boston Braves,Braves Field,76,177478,2320,542581
NL,1925,BSN,Boston Braves,Braves Field,76,313528,4098,544213
NL,1926,BSN,Boston Braves,Braves Field,77,303598,3995,615050
NL,1927,BSN,Boston Braves,Braves Field,74,288685,3749,663740
NL,1928,BSN,Boston Braves,Braves Field,76,227001,2967,610137
NL,1929,BSN,Boston Braves,Braves Field,77,372351,4836,615714
NL,1930,BSN,Boston Braves,Braves Field,77,464835,6037,680817
NL,1931,BSN,Boston Braves,Braves Field,78,515005,6688,572977
NL,1932,BSN,Boston Braves,Braves Field,77,507606,6592,480167
NL,1933,BSN,Boston Braves,Braves Field,77,517803,6725,395353
NL,1934,BSN,Boston Braves,Braves Field,75,303205,4016,400013
NL,1935,BSN,Boston Braves,Braves Field,75,232754,3043,457164
NL,1936,BSN,Boston Braves,Braves Field,79,340585,4423,487961
NL,1937,BSN,Boston Braves,Braves Field,76,385339,5070,525529
NL,1938,BSN,Boston Braves,Braves Field,75,341149,4489,570103
NL,1939,BSN,Boston Braves,Braves Field,73,285994,3788,588397
NL,1940,BSN,Boston Braves,Braves Field,75,241616,3179,548712
NL,1941,BSN,Boston Braves,Braves Field,76,263680,3424,597206
NL,1942,BSN,Boston Braves,Braves Field,71,285332,3856,544169
NL,1943,BSN,Boston Braves,Braves Field,77,271289,3546,471168
NL,1944,BSN,Boston Braves,Braves Field,78,208691,2710,496824
NL,1945,BSN,Boston Braves,Braves Field,75,374178,4923,657588
NL,1946,BSN,Boston Braves,Braves Field,77,969673,12675,1112763
NL,1947,BSN,Boston Braves,Braves Field,77,1277361,16589,1298559
NL,1948,BSN,Boston Braves,Braves Field,76,1455439,19025,1221343
NL,1949,BSN,Boston Braves,Braves Field,77,1081795,14049,1185590
NL,1950,BSN,Boston Braves,Braves Field,79,944391,12265,1040077
NL,1951,BSN,Boston Braves,Braves Field,78,487475,6331,905500
NL,1952,BSN,Boston Braves,Braves Field,77,281278,3677,792394
NL,1953,ML1,Milwaukee Braves,County Stadium,79,1826397,23719,927465
NL,1954,ML1,Milwaukee Braves,County Stadium,77,2131388,27680,1001690
NL,1955,ML1,Milwaukee Braves,County Stadium,77,2005836,26050,959302
NL,1956,ML1,Milwaukee Braves,County Stadium,77,2046331,26576,1081196
NL,1957,ML1,Milwaukee Braves,County Stadium,78,2215404,28771,1102450
NL,1958,ML1,Milwaukee Braves,County Stadium,77,1971101,25599,1270575
NL,1959,ML1,Milwaukee Braves,County Stadium,79,1749112,22425,1249316
NL,1960,ML1,Milwaukee Braves,County Stadium,77,1497799,19452,1335620
NL,1961,ML1,Milwaukee Braves,County Stadium,77,1101441,14304,1091438
NL,1962,ML1,Milwaukee Braves,County Stadium,81,766921,9468,"1,13,6016"
NL,1963,ML1,Milwaukee Braves,County Stadium,82,773018,9543,1138223
NL,1964,ML1,Milwaukee Braves,County Stadium,81,910911,11246,1204519
NL,1965,ML1,Milwaukee Braves,County Stadium,81,555584,6859,1358114
NL,1966,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,82,1539801,19010,1501547
NL,1967,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1389222,17151,1297143
NL,1968,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1126540,13908,1178536
NL,1969,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1458320,18004,1257912
NL,1970,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1078848,13319,1388517
NL,1971,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,82,1006320,12424,1443738
NL,1972,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,78,752973,9779,1294144
NL,1973,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,800655,9946,1389610
NL,1974,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,981085,12112,1414860
NL,1975,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,80,534672,6642,1383374
NL,1976,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,818179,10101,1388377
NL,1977,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,872464,10771,1589186
NL,1978,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,904494,11167,1675577
NL,1979,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,79,769465,9618,1764868
NL,1980,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,80,1048411,13024,1760340
NL,1981,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,50,535418,10102,1039866
NL,1982,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1801985,22247,1792285
NL,1983,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,80,2119935,26172,1795774
NL,1984,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1724892,21295,1731786
NL,1985,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1350137,16668,1857680
NL,1986,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1387181,17232,1861123
NL,1987,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,1217402,15123,2061180
NL,1988,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,79,848089,10601,2041606
NL,1989,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,79,984930,12312,2110320
NL,1990,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,980129,12100,2040959
NL,1991,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,2140217,26422,2058014
NL,1992,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,3077400,37992,2009261
NL,1993,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,3884720,47960,2637470
NL,1994,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,55,2539240,44548,1843416
NL,1995,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,72,2561831,35581,1793589
NL,1996,ATL,Atlanta Braves,Atlanta-Fulton County Stadium,81,2901242,35818,2169949
NL,1997,ATL,Atlanta Braves,Turner Field,81,3464488,42771,2277526
NL,1998,ATL,Atlanta Braves,Turner Field,81,3360860,41492,2401674
NL,1999,ATL,Atlanta Braves,Turner Field,81,3284901,40554,2380436
NL,2000,ATL,Atlanta Braves,Turner Field,81,3234304,39930,2480194
