Ballpark,Teams,Opened,Closed,Capacity,Cost,Turf,Dimensions
Three Rivers Stadium,Pittsburgh Pirates,1970,2000,"47,952",$55 Million,AstroTurf,335-400-335
Tiger Stadium,Detroit Tigers,1912,1999,"52,400",$8 Million,Grass,340-440-325
Tropicana Field,Tampa Bay Rays,1998,,"31,042",$138 Million,Fieldturf,315-404-312
Turner Field,Atlanta Braves,1997,,"50,096",$239 Million,Grass,335-400-330
U.S. Cellular Field,Chicago White Sox,1991,,"40,615",$137 Million,Grass,330-400-335
Veterans Stadium,Philadelphia Phillies,1971,2003,"62,623",$50 Million,NexTurf,330-408-330
West Side Park,Chicago Cubs,1893,1915,"16,000",Unknown,Grass,340-560-316
Wrigley Field,Chicago Cubs,1914,,"40,929","$250,000 ",Grass,355-400-353
Yankee Stadium,New York Yankees,2009,,"52,355",$1.6 Billion,Grass,318-404-314
Yankee Stadium,New York Yankees,1923,2008,"56,937",$50 Million,Grass,318-408-314
