Detroit Lions,2003,490442,8,61305.25
Cincinnati Bengals,2003,479488,8,59936.0
St. Louis Rams,2000,528402,8,66050.25
New England Patriots,2000,482336,8,60292.0
Chicago Bears,2000,535552,8,66944.0
Cleveland Browns,2000,581544,8,72693.0
Kansas City Chiefs,2000,631365,8,78920.625
Denver Broncos,2000,604042,8,75505.25
New York Jets,2000,623711,8,77963.875
Carolina Panthers,2000,583489,8,72936.125
San Francisco 49ers,2000,541964,8,67745.5
Oakland Raiders,2000,462515,8,57814.375
New York Giants,2000,624085,8,78010.625
Pittsburgh Steelers,2000,440426,8,55053.25
Atlanta Falcons,2000,422814,8,52851.75
Jacksonville Jaguars,2000,482510,8,60313.75
Philadelphia Eagles,2000,523531,8,65441.375
Dallas Cowboys,2000,504360,8,63045.0
Green Bay Packers,2000,478747,8,59843.375
Miami Dolphins,2000,589909,8,73738.625
Arizona Cardinals,2000,387475,8,48434.375
Detroit Lions,2000,607076,8,75884.5
New Orleans Saints,2000,504315,8,63039.375
Tampa Bay Buccaneers,2000,524775,8,65596.875
San Diego Chargers,2000,433459,8,54182.375
Indianapolis Colts,2000,454319,8,56789.875
Baltimore Ravens,2000,551695,8,68961.875
Buffalo Bills,2000,560695,8,70086.875
Seattle Seahawks,2000,508367,8,63545.875
Washington Redskins,2000,647424,8,80928.0
Tennessee Titans,2000,547524,8,68440.5
Minnesota Vikings,2000,513322,8,64165.25
Cincinnati Bengals,2000,469992,8,58749.0
St. Louis Rams,2015,419220,8,52402.5
New England Patriots,2015,534632,8,66829.0
Chicago Bears,2015,496287,8,62035.875
Tampa Bay Buccaneers,2015,492460,8,61557.5
Kansas City Chiefs,2015,602228,8,75278.5
New York Jets,2015,625280,8,78160.0
Jacksonville Jaguars,2015,514268,8,64283.5
Carolina Panthers,2015,592454,8,74056.75
San Francisco 49ers,2015,566092,8,70761.5
Oakland Raiders,2015,436397,8,54549.625
New York Giants,2015,632011,8,79001.375
Houston Texans,2015,574159,8,71769.875
Atlanta Falcons,2015,562845,8,70355.625
Denver Broncos,2015,615381,8,76922.625
Dallas Cowboys,2015,731672,8,91459.0
Green Bay Packers,2015,627308,8,78413.5
Miami Dolphins,2015,537548,8,67193.5
Arizona Cardinals,2015,513487,8,64185.875
Detroit Lions,2015,490782,8,61347.75
Baltimore Ravens,2015,568018,8,71002.25
San Diego Chargers,2015,534180,8,66772.5
Indianapolis Colts,2015,528381,8,66047.625
Cleveland Browns,2015,529488,8,66186.0
Pittsburgh Steelers,2015,514854,8,64356.75
New Orleans Saints,2015,584305,8,73038.125
Philadelphia Eagles,2015,555868,8,69483.5
Buffalo Bills,2015,559047,8,69880.875
Seattle Seahawks,2015,552162,8,69020.25
Washington Redskins,2015,609672,8,76209.0
Tennessee Titans,2015,498435,8,62304.375
Minnesota Vikings,2015,419440,8,52430.0
Cincinnati Bengals,2015,491118,8,61389.75
Atlanta Falcons,2007,547167,8,68395.875
St. Louis Rams,2007,514354,8,64294.25
New England Patriots,2007,550048,8,68756.0
Chicago Bears,2007,497267,8,62158.375
Cleveland Browns,2007,584006,8,73000.75
Kansas City Chiefs,2007,614217,8,76777.125
New York Jets,2007,616855,8,77106.875
Jacksonville Jaguars,2007,522410,8,65301.25
Carolina Panthers,2007,587221,8,73402.625
San Francisco 49ers,2007,544226,8,68028.25
Oakland Raiders,2007,472876,8,59109.5
New York Giants,2007,629848,8,78731.0
Pittsburgh Steelers,2007,496675,8,62084.375
Houston Texans,2007,564159,8,70519.875
Denver Broncos,2007,612893,8,76611.625
Dallas Cowboys,2007,508278,8,63534.75
Green Bay Packers,2007,566443,8,70805.375
Miami Dolphins,2007,577835,8,72229.375
Arizona Cardinals,2007,516646,8,64580.75
Detroit Lions,2007,490436,8,61304.5
Baltimore Ravens,2007,569226,8,71153.25
San Diego Chargers,2007,524019,8,65502.375
Indianapolis Colts,2007,458437,8,57304.625
Tampa Bay Buccaneers,2007,522530,8,65316.25
Philadelphia Eagles,2007,545357,8,68169.625
Buffalo Bills,2007,568437,8,71054.625
Seattle Seahawks,2007,545551,8,68193.875
Washington Redskins,2007,704722,8,88090.25
Tennessee Titans,2007,553144,8,69143.0
Minnesota Vikings,2007,506046,8,63255.75
New Orleans Saints,2007,560036,8,70004.5
Cincinnati Bengals,2007,526320,8,65790.0
Atlanta Falcons,2010,542800,8,67850.0
St. Louis Rams,2010,423383,8,52922.875
New England Patriots,2010,550048,8,68756.0
Chicago Bears,2010,497561,8,62195.125
Tampa Bay Buccaneers,2010,394513,8,49314.125
Kansas City Chiefs,2010,541380,8,67672.5
New York Jets,2010,628768,8,78596.0
Jacksonville Jaguars,2010,504262,8,63032.75
Carolina Panthers,2010,580965,8,72620.625
San Francisco 49ers,2010,572065,8,71508.125
Oakland Raiders,2010,371448,8,46431.0
New York Giants,2010,631156,8,78894.5
Houston Texans,2010,568643,8,71080.375
Pittsburgh Steelers,2010,504669,8,63083.625
Philadelphia Eagles,2010,553152,8,69144.0
Dallas Cowboys,2010,696377,8,87047.125
Green Bay Packers,2010,566362,8,70795.25
Miami Dolphins,2010,541959,8,67744.875
Arizona Cardinals,2010,502197,8,62774.625
Minnesota Vikings,2010,470009,8,58751.125
New Orleans Saints,2010,560304,8,70038.0
Seattle Seahawks,2010,535942,8,66992.75
Indianapolis Colts,2010,535802,8,66975.25
Denver Broncos,2010,599264,8,74908.0
Cleveland Browns,2010,528933,8,66116.625
Buffalo Bills,2010,493112,8,61639.0
San Diego Chargers,2010,524241,8,65530.125
Washington Redskins,2010,665380,8,83172.5
